ID,Title,Price,Miles
b341,2019 Ford Expedition XLT,39998,45908
b342,2020 Ford Mustang Bullitt,42996,24005
b343,2022 Ford F150 XLT,44885,10414
b344,2021 Ford F150 Lariat,48996,19397
b345,2022 Ford F150 Lariat,56258,2997
b346,2020 Ford F350 XLT,58996,13840
b347,2019 GMC Terrain Denali,29911,19149
b348,2021 Acura TLX SH-AWD,38900,10560
b349,2015 Hyundai Sonata Limited,14799,52300
b350,2018 Chevrolet Equinox LT,17868,63579
b351,2020 Volkswagen Jetta SE,20412,27368
b352,2020 MAZDA MAZDA3 Sedan,23000,21362
b353,2020 Nissan Rogue SV,23205,40030
b354,2020 Hyundai Santa Fe SEL,23500,42160
b355,2020 MAZDA CX-5 Touring,25000,35441
b356,2019 Chevrolet Blazer LT,26184,42181
b357,2017 MAZDA MX-5 Miata RF Grand Touring,26603,8501
b358,2022 Ford Escape SE,28581,11779
b359,2023 MAZDA CX-5 AWD 2.5 Turbo,34500,9145
b360,2018 Ford Taurus SEL,19807,41973
b361,2020 Nissan Sentra SV,20356,27333
b362,2021 Nissan Sentra SV,21421,22592
b363,2018 Ford Escape Titanium,21831,40552
b364,2020 Buick Encore GX Select,22423,42229
b365,2020 Buick Encore GX Select,22856,28700
b366,2020 Nissan Rogue Sport SV,23447,18145
b367,2021 Nissan Rogue Sport SV,24353,23327
b368,2020 Nissan Rogue SL,25114,44341
b369,2020 Nissan Rogue SL,27275,24549
b370,2021 Buick Envision Avenir,39997,17235
b371,2021 Mercedes-Benz GLC 300 4MATIC,41354,10882
b372,2012 Dodge Avenger SXT,4999,129296
b373,2014 Chevrolet Cruze LT,5999,84540
b374,2014 Honda CR-V LX,7999,131613
b375,2018 Honda Civic EX,19967,48923
b376,2019 Buick Encore Sport Touring,20949,35399
b377,2019 Buick Envision Essence,24777,43628
b378,2018 Honda CR-V LX,25899,30081
b379,2020 Honda CR-V LX,27273,22544
b380,2021 Honda CR-V EX-L,31629,25461
b381,2020 Chevrolet Equinox LT,26265,23260
b382,2021 Ford F150 XL,39990,18641
b383,2020 Ford F150 XLT,41990,23146
b384,2021 Ford F150 Lariat,49990,19412
b385,2020 GMC Terrain SLE,23900,41451
b386,2021 Honda CR-V EX,31000,13800
b387,2020 Ford F150 XLT,43577,14158
b388,2020 Ford Expedition XLT,51988,24092
b389,2021 Ford F150 Limited,62959,22122
b390,2019 Cadillac XT5 Luxury,30990,46508
b391,2019 Cadillac XT5 Luxury,31249,47487
b392,2020 Cadillac XT5 Premium Luxury,36490,34300
b393,2021 Cadillac XT6 Premium Luxury,44290,24814
b394,2021 Hyundai Tucson SE,22976,7375
b395,2020 Hyundai Tucson Sport,24976,28367
b396,2023 Hyundai Sonata SEL,28176,6847
b397,2017 Cadillac XT5 Platinum,28235,62074
b398,2023 Hyundai Sonata SEL Plus,30276,5505
b399,2018 Toyota Tacoma Limited,38976,30963
b400,2019 Volkswagen Jetta SE,21975,14447
b401,2015 Ford Transit 350 148" Low Roof,21995,109563
b402,2016 Ford E-350 and Econoline 350 Super Duty,24995,95243
b403,2018 MAZDA MX-5 Miata Grand Touring,25993,9168
b404,2020 MAZDA CX-5 Grand Touring,25995,37750
b405,2023 MAZDA CX-5 AWD 2.5 S,29993,4528
b406,2020 Volkswagen Tiguan SE R-Line,29995,24584
