ID,ltable_ID,rtable_ID,ltable_Title,ltable_Price,ltable_Miles,rtable_Title,rtable_Price,rtable_Miles
142,a714,b1465,2020 BMW X4 xDrive30i,44948,24394,2020 BMW X4 xDrive30i,43327,30940
143,a1166,b1274,2021 Cadillac CT5 Luxury,32495,17850,2021 Cadillac CT5 Luxury,32495,17850
144,a1889,b1486,2020 Cadillac XT6 Premium Luxury,36493,22386,2020 Cadillac XT6 Premium Luxury,35375,36473
145,a937,b1276,2022 Cadillac CT5 Sport,44993,2620,2022 Cadillac CT5 Sport,44993,2620
146,a1907,b1277,2021 INFINITI QX50 Sensory,32994,18933,2021 INFINITI QX50 Sensory,32994,18933
147,a1419,b1278,2020 Nissan Pathfinder S,23435,27133,2020 Nissan Pathfinder S,23435,27133
148,a588,b1280,2017 Kia Cadenza Premium,15148,68625,2017 Kia Cadenza Premium,15148,68625
149,a1261,b1282,2019 Chevrolet Colorado W/T,24877,16263,2019 Chevrolet Colorado W/T,24877,16263
150,a1931,b1284,2019 Mercedes-Benz C 300 Sedan,29683,22942,2019 Mercedes-Benz C 300 Sedan,29683,22942
151,a1328,b1286,2021 Lexus NX 300 F Sport,33798,22496,2021 Lexus NX 300 F Sport,33798,22496
152,a1244,b1538,2020 Lexus ES 350 F Sport,36970,25552,2020 Lexus ES 350 F Sport,35990,15563
153,a1544,b1291,2021 INFINITI Q50 Red Sport 400,39592,15830,2021 INFINITI Q50 Red Sport 400,39592,15830
154,a1321,b1294,2020 Chevrolet Silverado 1500 LTZ,44781,27512,2020 Chevrolet Silverado 1500 LTZ,44781,27512
155,a629,b1295,"2022 Mercedes-Benz Sprinter 144"" Cargo",48470,12100,"2022 Mercedes-Benz Sprinter 144"" Cargo",48470,12100
156,a1173,b1298,2021 Chevrolet Silverado 1500 High Country,51321,7969,2021 Chevrolet Silverado 1500 High Country,51321,7969
157,a1605,b1453,2020 Audi A3 2.0T,24012,36538,2020 Audi A3 2.0T,26390,22900
158,a1650,b1303,2023 Chevrolet Silverado 1500 RST,52607,1314,2023 Chevrolet Silverado 1500 RST,52607,1314
159,a722,b1308,2020 Porsche Macan Turbo,67900,19723,2020 Porsche Macan Turbo,67900,19723
160,a1708,b1309,2019 Mercedes-Benz S 560 4MATIC Coupe,69991,30219,2019 Mercedes-Benz S 560 4MATIC Coupe,69991,30219
161,a871,b1310,2017 Honda Civic LX,16490,39041,2017 Honda Civic LX,16490,39041
162,a1665,b1311,2020 Kia Optima S,19990,23175,2020 Kia Optima S,19990,23175
163,a1379,b1312,2018 Chevrolet Camaro LT,22490,39477,2018 Chevrolet Camaro LT,22490,39477
164,a744,b1316,2021 Chevrolet Traverse LS,28490,18251,2021 Chevrolet Traverse LS,28490,18251
165,a751,b1420,2022 Volkswagen Tiguan SE,27690,7468,2022 Volkswagen Tiguan SE,28995,5055
166,a343,b1318,2017 Hyundai Elantra Value Edition,16591,42206,2017 Hyundai Elantra Value Edition,16591,42206
167,a1220,b1320,2021 Nissan Rogue Sport S,20995,15939,2021 Nissan Rogue Sport S,20995,15939
