ID,Title,Price,Miles,Location,Market Price
a700,2021 Cadillac XT4 Sport AWD,34999,17477,"Saukville, WI",$3290 below market
a701,2021 Honda Accord Hybrid Touring FWD,30500,24401,"Gurnee, IL",$3262 below market
a702,2016 Nissan Rogue S FWD,9990,101100,"Gurnee, IL",$3097 below market
a703,2016 Nissan Maxima SR,16500,96828,"Beaver Dam, WI",$944 below market
a704,2021 Ford F-150 XLT SuperCrew 4WD,44237,28520,"Menomonee Falls, WI",$741 below market
a705,2022 Chevrolet Equinox RS with 1RS AWD,31889,7098,"Plymouth, WI",$920 below market
a706,2021 GMC Sierra 1500 Elevation Crew Cab 4WD,46595,22776,"Milwaukee, WI",$0 above market
a707,2004 Cadillac XLR RWD,20499,49495,"Brown Deer, WI",$4116 below market
a708,2017 RAM 3500 Laramie Crew Cab LB DRW 4WD,48951,87237,"Milwaukee, WI",$3663 below market
a709,2010 MINI Cooper Base Convertible,5995,94359,"Milwaukee, WI",$2945 below market
a710,2018 Ford Escape S FWD,14995,73707,"Plymouth, WI",$1562 below market
a711,2021 Ford F-150 XLT SuperCrew 4WD,40995,12652,"Plymouth, WI",$3773 below market
a712,2021 Honda Passport Elite AWD,37585,13332,"Milwaukee, WI",$2187 below market
a713,2021 BMW X3 xDrive30e AWD,41965,15637,"Milwaukee, WI",$2672 below market
a714,2020 Ford Ranger XL SuperCab 4WD,19580,133189,"Watertown, WI",$2291 below market
a715,2019 Ford Escape SE AWD,20455,36178,"Kenosha, WI",$1698 below market
a716,2017 Jeep Wrangler Unlimited Sport 4WD,28264,29282,"Greenfield, WI",$2328 below market
a717,2021 Volkswagen Jetta S FWD,18500,41000,"Oostburg, WI",$1613 below market
a718,2019 Mercedes-Benz C-Class C 300 4MATIC AWD,28990,27213,"Oconomowoc, WI",$2571 below market
a719,2015 Chevrolet Camaro 2SS Convertible RWD,27999,39350,"Saukville, WI",$2487 below market
a720,2021 Cadillac XT4 Sport AWD,34999,17477,"Saukville, WI",$3290 below market
a721,2022 Chevrolet Silverado 1500 LT Crew Cab 4WD,40999,3723,"Saukville, WI",$4665 below market
a722,2023 Kia Sorento X-Line S AWD,37995,11136,"Racine, WI",$1141 above market
a723,2018 Ford F-150 Raptor SuperCrew 4WD,51500,61634,"Kenosha, WI",$1654 below market
a724,2016 Chevrolet Equinox LT AWD,11999,128195,"Mukwonago, WI",$241 below market
a725,2019 Kia Sorento L FWD,16989,82428,"Brookfield, WI",$1310 below market
a726,2020 Ford F-150 XLT SuperCrew 4WD,29789,67136,"Gurnee, IL",$4872 below market
a727,2015 Chevrolet Camaro 2SS Convertible RWD,27999,39350,"Saukville, WI",$2487 below market
a728,2021 Chevrolet Silverado 1500 LT Trail Boss Crew Cab 4WD,45993,22359,"Cedarburg, WI",$2748 below market
a729,2022 Chevrolet Express Chassis 3500 Cutaway 177,49900,7621,"Cedarburg, WI",$4248 below market
a730,2021 Volkswagen Tiguan SE 4Motion,26713,22075,"Milwaukee, WI",$2034 below market
a731,2022 GMC Terrain SLE AWD,27000,19214,"Plymouth, WI",$2606 below market
a732,2020 Ford F-250 Super Duty Lariat Crew Cab LB 4WD,61103,50774,"Plymouth, WI",$4804 below market
a733,2021 Jeep Grand Cherokee L Overland 4WD,49179,23566,"Plymouth, WI",$3478 below market
a734,2013 RAM 1500 Express Crew Cab 4WD,18400,86082,"Plymouth, WI",$2485 below market
a735,2015 RAM 1500 Laramie Longhorn Crew Cab 4WD,25292,99786,"Plymouth, WI",$2479 below market
a736,2020 RAM 1500 Limited Crew Cab 4WD,45228,60517,"Plymouth, WI",$2909 below market
a737,2022 Mercedes-Benz GLC-Class GLC 300 4MATIC SUV AWD,39999,6356,"Milwaukee, WI",$5986 below market
a738,2019 Lexus RX Hybrid 450h AWD,42066,38079,"Milwaukee, WI",$2306 below market
a739,2022 Lexus RX Hybrid 450h AWD,56448,1642,"Milwaukee, WI",$2638 below market
a740,2012 Chevrolet Impala LT Fleet FWD,6495,148288,"Fort Atkinson, WI",$1583 below market
a741,2018 RAM 1500 Laramie Crew Cab 4WD,30299,95898,"Random Lake, WI",$508 below market
a742,2018 Ford F-150 Limited SuperCrew 4WD,40996,70352,"Milwaukee, WI",$808 below market
a743,2021 Jeep Grand Cherokee 80th Anniversary Edition 4WD,40452,8610,"Jefferson, WI",$576 below market
a744,2020 Ford Edge ST AWD,33488,24620,"West Bend, WI",$2180 below market
a745,2017 Chevrolet Sonic Premier Sedan FWD,7950,83829,"Salem, WI",$4331 below market
a746,2019 Volkswagen Golf R AWD,32955,34071,"Fox Lake, IL",$5628 below market
a747,2021 Jeep Wrangler Unlimited Rubicon 392 4WD,63865,10945,"Plymouth, WI",$12419 below market
a748,2013 Honda Odyssey EX-L FWD,7499,169189,"Milwaukee, WI",$3679 below market
a749,2010 MINI Cooper Base Convertible,5995,94359,"Milwaukee, WI",$2945 below market
a750,2018 RAM 1500 Express Crew Cab 4WD,15995,149988,"Milwaukee, WI",$4738 below market
a751,2012 Chevrolet Avalanche LTZ 4WD,10995,134618,"Trevor, WI",$6150 below market
